id,year,crop,season,min_support_price
576,2003-2004,Wheat,Rabi,630
577,2003-2004,Barley,Rabi,525
578,2003-2004,Gram,Rabi,1400
579,2003-2004,Masur (Lentil),Rabi,1500
580,2003-2004,Rapeseed/Mustard,Rabi,1600
581,2003-2004,Safflower,Rabi,1500
582,2003-2004,Toria,Rabi,1565
583,2003-2004,Copra - Milling,Others,3320
584,2003-2004,Copra - Ball,Others,3570
585,2003-2004,Jute,Others,860
586,2003-2004,Sugarcane ,Others,73
587,2003-2004,Tobacco - Black Soil (F2 Gr),Others,31
588,2003-2004,Tobacco - Light Soil (L2 Gr),Others,33
589,2002-2003,Paddy - Common,Kharif,530
590,2002-2003,Paddy - Grade 'A',Kharif,560
591,2002-2003,Jowar - Hybrid,Kharif,485
592,2002-2003,Bajra,Kharif,485
593,2002-2003,Maize,Kharif,485
594,2002-2003,Ragi,Kharif,485
595,2002-2003,Arhar(Tur),Kharif,1320
596,2002-2003,"Moong,",Kharif,1330
597,2002-2003,Urad,Kharif,1330
598,2002-2003,Cotton,Kharif,1675
599,2002-2003,Cotton H-4,Kharif,1875
600,2002-2003,Groundnut In Shell,Kharif,1355
601,2002-2003,Sunflower  Seed,Kharif,1195
602,2002-2003,Soyabeen - Black,Kharif,795
